"item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"15","UAE",2,23,-0.868573136606079,0.650594766356435,-0.679809331856498,-0.776745329034758,0.51866286719198,-2.41867397643433,-0.164857067762446,2.25381690867188,-1.06076570792435,0.133837410314024,0.135658386495411
"16","USA",2,23,-0.402902169956655,0.133458868087436,-0.415503526359388,-0.402111080256845,0.158704433344594,-0.661719372823735,-0.129570577848609,0.532148794975126,0.004203575104646,-0.917950381375852,0.027828097679972
"17","Bahrain",3,23,22.3987987424832,0.272662376547608,22.336426094623,22.3911981484197,0.260936234698814,21.9736137283523,22.8954799780148,0.9218662496625,0.235391396610566,-1.095886648069,0.056854035681234
"18","China",3,23,20.7056880224029,0.67522964883212,20.9655140778983,20.754890810743,0.531078191739754,19.3714915093195,21.6242952950521,2.25280378573256,-0.662414847983697,-0.951947760386,0.140795114580194
"19","Egypt",3,23,20.7290168884989,0.383322307781929,20.796347545695,20.7444899147058,0.366223237864108,20.0203259299736,21.2714753328996,1.25114940292603,-0.401332665107752,-0.981148575409869,0.079928226402155
"20","India",3,23,19.9751359111598,0.484992820091283,20.0971612431983,20.0060151068769,0.457715671319256,19.0366880035902,20.6831134311324,1.6464254275422,-0.602543736813211,-0.914474516050995,0.101127993703222
"21","Japan",3,23,22.1169579093045,0.271221480654214,22.1195812997339,22.1235237929587,0.233871416759418,21.6072729784194,22.5561909781546,0.948917999735226,-0.230836156823193,-0.792143563799817,0.056553588118306
"22","Saudi",3,23,22.3842817496425,0.299844246042439,22.3635806857237,22.3779225291967,0.252017518725952,21.93731218557,22.9124009464776,0.975088760907564,0.18009963566697,-1.10198459194539,0.062521847271924
"23","UAE",3,23,22.9265171935558,0.233454801415941,22.9257841277772,22.9331493159101,0.329965911309692,22.4901294931437,23.2593158031717,0.76918631002799,-0.191037522175079,-1.36962150530553,0.048678691126056
"24","USA",3,23,22.4637791618235,0.296618604128612,22.4955122843635,22.4787217939915,0.265719916634997,21.8934953154505,22.8933416612224,0.999846345771928,-0.426649138123419,-0.814036469852642,0.061849254438305
"25","Bahrain",4,23,127,0,127,127,0,127,127,0,NA,NA,0
"26","China",4,23,5015,0,5015,5015,0,5015,5015,0,NA,NA,0
"27","Egypt",4,23,2130,0,2130,2130,0,2130,2130,0,NA,NA,0
"28","India",4,23,2908,0,2908,2908,0,2908,2908,0,NA,NA,0
"29","Japan",4,23,8180,0,8180,8180,0,8180,8180,0,NA,NA,0
"30","Saudi",4,23,685,0,685,685,0,685,685,0,NA,NA,0
"31","UAE",4,23,305,0,305,305,0,305,305,0,NA,NA,0
"32","USA",4,23,11940,0,11940,11940,0,11940,11940,0,NA,NA,0
"33","Bahrain",5,23,0.217391304347826,0.42174116783665,0,0.157894736842105,0,0,1,1,1.28193015846773,-0.367023734509556,0.087939112495206
"34","China",5,23,0.217391304347826,0.42174116783665,0,0.157894736842105,0,0,1,1,1.28193015846773,-0.367023734509556,0.087939112495206
"35","Egypt",5,23,0.217391304347826,0.42174116783665,0,0.157894736842105,0,0,1,1,1.28193015846773,-0.367023734509556,0.087939112495206
"36","India",5,23,0.217391304347826,0.42174116783665,0,0.157894736842105,0,0,1,1,1.28193015846773,-0.367023734509556,0.087939112495206
"37","Japan",5,23,0.217391304347826,0.42174116783665,0,0.157894736842105,0,0,1,1,1.28193015846773,-0.367023734509556,0.087939112495206
"38","Saudi",5,23,0.217391304347826,0.42174116783665,0,0.157894736842105,0,0,1,1,1.28193015846773,-0.367023734509556,0.087939112495206
"39","UAE",5,23,0.217391304347826,0.42174116783665,0,0.157894736842105,0,0,1,1,1.28193015846773,-0.367023734509556,0.087939112495206
"40","USA",5,23,0.217391304347826,0.42174116783665,0,0.157894736842105,0,0,1,1,1.28193015846773,-0.367023734509556,0.087939112495206
